A1	A2	A3
915148800	Sergipe	36.0
915148800	Tocantins	36.0
917827200	Acre	0.0
917827200	Alagoas	20.0
917827200	Amapa	1.0
917827200	Amazonas	43.0
917827200	Bahia	157.0
917827200	Ceara	16.0
917827200	Distrito Federal	2.0
917827200	Espirito Santo	10.0
917827200	Goias	334.0
917827200	Maranhao	6.0
917827200	Mato Grosso	28.0
917827200	Mato Grosso	69.0
917827200	Minas Gerais	112.0
917827200	Paraiba	2.0
917827200	Paraiba	22.0
917827200	Pará	285.0
917827200	Pernambuco	13.0
917827200	Piau	22.0
917827200	Rio	0.0
917827200	Rio	11.0
917827200	Rio	35.0
917827200	Rondonia	1.0
917827200	Roraima	20.0
917827200	Santa Catarina	2.0
917827200	Sao Paulo	47.0
917827200	Sergipe	25.0
917827200	Tocantins	1.0
920246400	Acre	0.0
920246400	Alagoas	52.0
920246400	Amapa	2.0
920246400	Amazonas	7.0
920246400	Bahia	83.0
920246400	Ceara	30.0
920246400	Distrito Federal	0.0
920246400	Espirito Santo	8.0
920246400	Goias	1.0
920246400	Maranhao	17.0
920246400	Mato Grosso	18.0
920246400	Mato Grosso	100.0
920246400	Minas Gerais	13.0
920246400	Paraiba	1.0
920246400	Paraiba	40.0
920246400	Pará	7.0
920246400	Pernambuco	27.0
920246400	Piau	4.0
920246400	Rio	0.0
920246400	Rio	9.0
920246400	Rio	38.0
920246400	Rondonia	8.0
920246400	Roraima	98.0
920246400	Santa Catarina	7.0
920246400	Sao Paulo	78.0
920246400	Sergipe	18.0
920246400	Tocantins	1.0
922924800	Acre	0.0
922924800	Alagoas	4.0
922924800	Amapa	0.0
922924800	Amazonas	2.0
922924800	Bahia	55.0
922924800	Ceara	6.0
922924800	Distrito Federal	0.0
922924800	Espirito Santo	2.0
922924800	Goias	25.0
922924800	Maranhao	4.0
922924800	Mato Grosso	76.0
922924800	Mato Grosso	97.0
922924800	Minas Gerais	27.0
922924800	Paraiba	3.0
922924800	Paraiba	39.0
922924800	Pará	6.0
922924800	Pernambuco	2.0
922924800	Piau	10.0
922924800	Rio	1.0
922924800	Rio	21.0
922924800	Rio	12.0
922924800	Rondonia	3.0
922924800	Roraima	16.0
922924800	Santa Catarina	0.0
922924800	Sao Paulo	291.0
922924800	Sergipe	6.0
922924800	Tocantins	9.0
925516800	Acre	0.0
925516800	Alagoas	1.0
925516800	Amapa	0.0
925516800	Amazonas	0.0
925516800	Bahia	76.0
925516800	Ceara	5.0
925516800	Distrito Federal	0.0
925516800	Espirito Santo	16.0
925516800	Goias	99.0
925516800	Maranhao	3.0
925516800	Mato Grosso	731.0
925516800	Mato Grosso	206.0
925516800	Minas Gerais	51.0
925516800	Paraiba	0.0
925516800	Paraiba	57.0
925516800	Pará	4.0
925516800	Pernambuco	6.0
925516800	Piau	8.0
925516800	Rio	7.0
925516800	Rio	1.0
925516800	Rio	13.0
925516800	Rondonia	3.0
925516800	Roraima	0.0
925516800	Santa Catarina	1.0
925516800	Sao Paulo	500.0
925516800	Sergipe	0.0
925516800	Tocantins	24.0
928195200	Acre	0.0
928195200	Alagoas	0.0
928195200	Amapa	2.0
928195200	Amazonas	7.0
928195200	Bahia	64.0
928195200	Ceara	16.0
928195200	Distrito Federal	3.0
928195200	Espirito Santo	6.0
928195200	Goias	250.0
928195200	Maranhao	32.0
928195200	Mato Grosso	2.201
928195200	Mato Grosso	127.0
928195200	Minas Gerais	132.0
928195200	Paraiba	1.0
928195200	Paraiba	31.0
928195200	Pará	37.0
928195200	Pernambuco	7.0
928195200	Piau	47.0
928195200	Rio	8.0
928195200	Rio	4.0
928195200	Rio	9.0
928195200	Rondonia	10.0
928195200	Roraima	3.0
928195200	Santa Catarina	0.0
928195200	Sao Paulo	522.0
928195200	Sergipe	0.0
928195200	Tocantins	113.0
930787200	Acre	1.0
930787200	Alagoas	0.0
930787200	Amapa	0.0
930787200	Amazonas	11.0
930787200	Bahia	107.0
930787200	Ceara	83.0
930787200	Distrito Federal	4.0
930787200	Espirito Santo	9.0
930787200	Goias	311.0
930787200	Maranhao	258.0
930787200	Mato Grosso	3.926
930787200	Mato Grosso	1.297
930787200	Minas Gerais	318.0
930787200	Paraiba	1.0
930787200	Paraiba	94.0
930787200	Pará	982.0
930787200	Pernambuco	2.0
930787200	Piau	123.0
930787200	Rio	14.0
930787200	Rio	7.0
930787200	Rio	10.0
930787200	Rondonia	135.0
930787200	Roraima	4.0
930787200	Santa Catarina	2.0
930787200	Sao Paulo	684.0
930787200	Sergipe	0.0
930787200	Tocantins	373.0
933465600	Acre	63.0
933465600	Alagoas	3.0
933465600	Amapa	0.0
933465600	Amazonas	259.0
933465600	Bahia	453.0
933465600	Ceara	131.0
933465600	Distrito Federal	16.0
933465600	Espirito Santo	60.0
933465600	Goias	1.198
933465600	Maranhao	895.0
933465600	Mato Grosso	18.566
933465600	Mato Grosso	4.355
933465600	Minas Gerais	1.19
933465600	Paraiba	4.0
933465600	Paraiba	938.0
933465600	Pará	6.178
933465600	Pernambuco	3.0
933465600	Piau	499.0
933465600	Rio	88.0
933465600	Rio	40.0
933465600	Rio	24.0
933465600	Rondonia	1.976
933465600	Roraima	1.0
933465600	Santa Catarina	51.0
933465600	Sao Paulo	1.211
933465600	Sergipe	0.0
933465600	Tocantins	1.284
936144000	Acre	209.0
936144000	Alagoas	3.0
936144000	Amapa	4.0
936144000	Amazonas	216.0
936144000	Bahia	1.275
936144000	Ceara	124.0
936144000	Distrito Federal	12.0
936144000	Espirito Santo	64.0
936144000	Goias	1.898
936144000	Maranhao	1.739
936144000	Mato Grosso	11.729
936144000	Mato Grosso	2.969
936144000	Minas Gerais	2.6860000000000004
936144000	Paraiba	14.0
936144000	Paraiba	878.0
936144000	Pará	4.419
936144000	Pernambuco	64.0
936144000	Piau	872.0
936144000	Rio	192.0
936144000	Rio	35.0
936144000	Rio	19.0
936144000	Rondonia	3.062
936144000	Roraima	3.0
936144000	Santa Catarina	101.0
936144000	Sao Paulo	911.0
936144000	Sergipe	0.0
936144000	Tocantins	3.415
938736000	Acre	60.0
938736000	Alagoas	4.0
938736000	Amapa	25.0
938736000	Amazonas	479.0
938736000	Bahia	1.307
938736000	Ceara	309.0
938736000	Distrito Federal	8.0
938736000	Espirito Santo	23.0
938736000	Goias	743.0
938736000	Maranhao	3.208
938736000	Mato Grosso	6.109
938736000	Mato Grosso	2.053
938736000	Minas Gerais	1.3630000000000002
938736000	Paraiba	48.0
938736000	Paraiba	452.0
938736000	Pará	5.026
938736000	Pernambuco	180.0
938736000	Piau	1.4380000000000002
938736000	Rio	30.0
938736000	Rio	40.0
938736000	Rio	56.0
938736000	Rondonia	1.884
938736000	Roraima	10.0
938736000	Santa Catarina	16.0
938736000	Sao Paulo	763.0
938736000	Sergipe	0.0
938736000	Tocantins	1.378
941414400	Acre	0.0
941414400	Alagoas	15.0
941414400	Amapa	26.0
941414400	Amazonas	32.0
941414400	Bahia	49.0
941414400	Ceara	524.0
941414400	Distrito Federal	1.0
941414400	Espirito Santo	9.0
941414400	Goias	110.0
941414400	Maranhao	1.494
941414400	Mato Grosso	842.0
941414400	Mato Grosso	1.194
941414400	Minas Gerais	271.0
941414400	Paraiba	38.0
941414400	Paraiba	447.0
941414400	Pará	2.682
941414400	Pernambuco	41.0
941414400	Piau	334.0
941414400	Rio	16.0
941414400	Rio	62.0
941414400	Rio	103.0
941414400	Rondonia	41.0
941414400	Roraima	15.0
941414400	Santa Catarina	84.0
941414400	Sao Paulo	398.0
941414400	Sergipe	3.0
941414400	Tocantins	29.0
944006400	Acre	0.0
944006400	Alagoas	12.0
944006400	Amapa	41.0
944006400	Amazonas	2.0
944006400	Bahia	37.0
944006400	Ceara	397.0
944006400	Distrito Federal	0.0
944006400	Espirito Santo	0.0
944006400	Goias	20.0
944006400	Maranhao	1.001
944006400	Mato Grosso	47.0
944006400	Mato Grosso	306.0
944006400	Minas Gerais	32.0
944006400	Paraiba	40.0
944006400	Paraiba	254.0
944006400	Pará	766.0
944006400	Pernambuco	16.0
944006400	Piau	74.0
944006400	Rio	0.0
944006400	Rio	29.0
944006400	Rio	1.11
944006400	Rondonia	0.0
944006400	Roraima	35.0
944006400	Santa Catarina	89.0
944006400	Sao Paulo	47.0
944006400	Sergipe	5.0
944006400	Tocantins	16.0
946684800	Acre	0.0
946684800	Alagoas	11.0
946684800	Amapa	2.0
946684800	Amazonas	7.0
946684800	Bahia	31.0
946684800	Ceara	1.0
946684800	Distrito Federal	0.0
946684800	Espirito Santo	5.0
946684800	Goias	10.0
946684800	Maranhao	19.0
946684800	Mato Grosso	44.0
946684800	Mato Grosso	326.0
946684800	Minas Gerais	24.0
946684800	Paraiba	0.0
946684800	Paraiba	49.0
946684800	Pará	30.0
946684800	Pernambuco	3.0
946684800	Piau	5.0
946684800	Rio	0.0
946684800	Rio	1.0
946684800	Rio	126.0
946684800	Rondonia	0.0
946684800	Roraima	18.0
946684800	Santa Catarina	14.0
946684800	Sao Paulo	36.0
946684800	Sergipe	1.0
946684800	Tocantins	15.0
949363200	Acre	0.0
949363200	Alagoas	16.0
949363200	Amapa	0.0
949363200	Amazonas	62.0
949363200	Bahia	32.0
949363200	Ceara	6.0
949363200	Distrito Federal	0.0
949363200	Espirito Santo	5.0
949363200	Goias	11.0
949363200	Maranhao	11.0
949363200	Mato Grosso	35.0
949363200	Mato Grosso	81.0
949363200	Minas Gerais	20.0
949363200	Paraiba	11.0
949363200	Paraiba	67.0
949363200	Pará	29.0
949363200	Pernambuco	4.0
949363200	Piau	12.0
949363200	Rio	1.0
949363200	Rio	7.0
949363200	Rio	43.0
949363200	Rondonia	6.0
949363200	Roraima	57.0
949363200	Santa Catarina	8.0
949363200	Sao Paulo	25.0
949363200	Sergipe	6.0
949363200	Tocantins	6.0
951868800	Acre	11.0
951868800	Alagoas	32.0
951868800	Amapa	0.0
951868800	Amazonas	69.0
951868800	Bahia	65.0
951868800	Ceara	9.0
951868800	Distrito Federal	0.0
951868800	Espirito Santo	1.0
951868800	Goias	4.0
951868800	Maranhao	6.0
951868800	Mato Grosso	60.0
951868800	Mato Grosso	23.0
951868800	Minas Gerais	24.0
951868800	Paraiba	5.0
951868800	Paraiba	52.0
951868800	Pará	181.0
951868800	Pernambuco	14.0
951868800	Piau	14.0
951868800	Rio	0.0
951868800	Rio	11.0
951868800	Rio	51.0
951868800	Rondonia	9.0
951868800	Roraima	125.0
951868800	Santa Catarina	46.0
951868800	Sao Paulo	26.0
951868800	Sergipe	6.0
951868800	Tocantins	4.0
954547200	Acre	1.0
954547200	Alagoas	20.0
954547200	Amapa	0.0
954547200	Amazonas	18.0
954547200	Bahia	23.0
954547200	Ceara	15.0
954547200	Distrito Federal	0.0
954547200	Espirito Santo	3.0
954547200	Goias	16.0
954547200	Maranhao	6.0
954547200	Mato Grosso	59.0
954547200	Mato Grosso	90.0
954547200	Minas Gerais	49.0
954547200	Paraiba	1.0
954547200	Paraiba	51.0
954547200	Pará	40.0
954547200	Pernambuco	1.0
954547200	Piau	15.0
954547200	Rio	2.0
954547200	Rio	16.0
954547200	Rio	1.0
954547200	Rondonia	0.0
954547200	Roraima	0.0
954547200	Santa Catarina	7.0
954547200	Sao Paulo	102.0
954547200	Sergipe	1.0
954547200	Tocantins	0.0
957139200	Acre	1.0
957139200	Alagoas	1.0
957139200	Amapa	0.0
957139200	Amazonas	51.0
957139200	Bahia	71.0
957139200	Ceara	7.0
957139200	Distrito Federal	2.0
957139200	Espirito Santo	2.0
957139200	Goias	58.0
957139200	Maranhao	28.0
957139200	Mato Grosso	1.194
957139200	Mato Grosso	127.0
957139200	Minas Gerais	67.0
957139200	Paraiba	0.0
957139200	Paraiba	43.0
957139200	Pará	12.0
957139200	Pernambuco	7.0
957139200	Piau	25.0
957139200	Rio	5.0
957139200	Rio	3.0
957139200	Rio	4.0
957139200	Rondonia	13.0
957139200	Roraima	7.0
957139200	Santa Catarina	0.0
957139200	Sao Paulo	300.0
957139200	Sergipe	0.0
957139200	Tocantins	69.0
959817600	Acre	1.0
959817600	Alagoas	0.0
959817600	Amapa	0.0
959817600	Amazonas	6.0
959817600	Bahia	178.0
959817600	Ceara	16.0
959817600	Distrito Federal	1.0
959817600	Espirito Santo	9.0
959817600	Goias	222.0
959817600	Maranhao	94.0
959817600	Mato Grosso	4.3580000000000005
959817600	Mato Grosso	157.0
959817600	Minas Gerais	135.0
959817600	Paraiba	2.0
959817600	Paraiba	53.0
959817600	Pará	59.0
959817600	Pernambuco	4.0
959817600	Piau	18.0
959817600	Rio	14.0
959817600	Rio	8.0
959817600	Rio	0.0
959817600	Rondonia	54.0
959817600	Roraima	0.0
959817600	Santa Catarina	2.0
959817600	Sao Paulo	606.0
959817600	Sergipe	0.0
959817600	Tocantins	278.0
962409600	Acre	1.0
962409600	Alagoas	0.0
962409600	Amapa	0.0
962409600	Amazonas	39.0
962409600	Bahia	202.0
962409600	Ceara	18.0
962409600	Distrito Federal	15.0
962409600	Espirito Santo	16.0
962409600	Goias	332.0
962409600	Maranhao	233.0
962409600	Mato Grosso	1.338
962409600	Mato Grosso	160.0
962409600	Minas Gerais	345.0
962409600	Paraiba	0.0
962409600	Paraiba	98.0
962409600	Pará	426.0
962409600	Pernambuco	0.0
962409600	Piau	75.0
962409600	Rio	22.0
962409600	Rio	5.0
962409600	Rio	6.0
962409600	Rondonia	117.0
962409600	Roraima	0.0
962409600	Santa Catarina	21.0
962409600	Sao Paulo	770.0
962409600	Sergipe	0.0
962409600	Tocantins	500.0
965088000	Acre	136.0
965088000	Alagoas	4.0
965088000	Amapa	3.0
965088000	Amazonas	180.0
965088000	Bahia	633.0
965088000	Ceara	79.0
965088000	Distrito Federal	9.0
965088000	Espirito Santo	26.0
965088000	Goias	925.0
965088000	Maranhao	839.0
965088000	Mato Grosso	6.063
965088000	Mato Grosso	530.0
965088000	Minas Gerais	769.0
965088000	Paraiba	7.0
965088000	Paraiba	849.0
965088000	Pará	5.484
965088000	Pernambuco	31.0
965088000	Piau	415.0
965088000	Rio	34.0
965088000	Rio	29.0
965088000	Rio	18.0
965088000	Rondonia	2.197
965088000	Roraima	9.0
965088000	Santa Catarina	69.0
965088000	Sao Paulo	915.0
965088000	Sergipe	0.0
965088000	Tocantins	1.949
967766400	Acre	265.0
967766400	Alagoas	22.0
967766400	Amapa	19.0
967766400	Amazonas	189.0
967766400	Bahia	2.285
967766400	Ceara	127.0
967766400	Distrito Federal	3.0
967766400	Espirito Santo	14.0
967766400	Goias	1.293
967766400	Maranhao	1.365
967766400	Mato Grosso	6.251
967766400	Mato Grosso	510.0
967766400	Minas Gerais	1.08
967766400	Paraiba	9.0
967766400	Paraiba	381.0
967766400	Pará	2.569
967766400	Pernambuco	130.0
967766400	Piau	1.099
967766400	Rio	16.0
967766400	Rio	17.0
967766400	Rio	27.0
967766400	Rondonia	2.438
967766400	Roraima	12.0
967766400	Santa Catarina	36.0
967766400	Sao Paulo	582.0
967766400	Sergipe	0.0
967766400	Tocantins	2.552
970358400	Acre	18.0
970358400	Alagoas	13.0
970358400	Amapa	42.0
970358400	Amazonas	145.0
970358400	Bahia	3.35
970358400	Ceara	875.0
970358400	Distrito Federal	18.0
970358400	Espirito Santo	88.0
970358400	Goias	905.0
970358400	Maranhao	2.654
970358400	Mato Grosso	6.062
970358400	Mato Grosso	657.0
970358400	Minas Gerais	1.954
970358400	Paraiba	125.0
970358400	Paraiba	658.0
970358400	Pará	4.313
970358400	Pernambuco	411.0
970358400	Piau	2.5580000000000003
970358400	Rio	25.0
970358400	Rio	28.0
970358400	Rio	10.0
970358400	Rondonia	644.0
970358400	Roraima	25.0
970358400	Santa Catarina	55.0
970358400	Sao Paulo	647.0
970358400	Sergipe	3.0
970358400	Tocantins	1.053
973036800	Acre	0.0
973036800	Alagoas	2.0
973036800	Amapa	157.0
973036800	Amazonas	27.0
973036800	Bahia	114.0
973036800	Ceara	669.0
973036800	Distrito Federal	0.0
973036800	Espirito Santo	3.0
973036800	Goias	26.0
973036800	Maranhao	2.267
973036800	Mato Grosso	502.0
973036800	Mato Grosso	274.0
973036800	Minas Gerais	43.0
973036800	Paraiba	65.0
973036800	Paraiba	85.0
973036800	Pará	3.366
973036800	Pernambuco	64.0
973036800	Piau	450.0
973036800	Rio	2.0
973036800	Rio	9.0
973036800	Rio	18.0
973036800	Rondonia	13.0
973036800	Roraima	32.0
973036800	Santa Catarina	19.0
973036800	Sao Paulo	96.0
973036800	Sergipe	0.0
973036800	Tocantins	96.0
975628800	Acre	0.0
975628800	Alagoas	2.0
975628800	Amapa	30.0
975628800	Amazonas	60.0
975628800	Bahia	24.0
975628800	Ceara	389.0
975628800	Distrito Federal	0.0
975628800	Espirito Santo	3.0
975628800	Goias	6.0
975628800	Maranhao	1.461
975628800	Mato Grosso	98.0
975628800	Mato Grosso	139.0
975628800	Minas Gerais	14.0
975628800	Paraiba	34.0
975628800	Paraiba	159.0
975628800	Pará	1.6980000000000002
975628800	Pernambuco	22.0
975628800	Piau	79.0
975628800	Rio	0.0
975628800	Rio	11.0
975628800	Rio	80.0
975628800	Rondonia	7.0
975628800	Roraima	77.0
975628800	Santa Catarina	29.0
975628800	Sao Paulo	23.0
975628800	Sergipe	0.0
975628800	Tocantins	20.0
978307200	Acre	0.0
978307200	Alagoas	5.0
978307200	Amapa	0.0
978307200	Amazonas	3.0
978307200	Bahia	24.0
978307200	Ceara	11.0
978307200	Distrito Federal	0.0
978307200	Espirito Santo	1.0
978307200	Goias	29.0
978307200	Maranhao	29.0
978307200	Mato Grosso	44.0
978307200	Mato Grosso	97.0
978307200	Minas Gerais	18.0
978307200	Paraiba	11.0
978307200	Paraiba	32.0
978307200	Pará	34.0
978307200	Pernambuco	7.0
978307200	Piau	29.0
978307200	Rio	0.0
978307200	Rio	2.0
978307200	Rio	12.0
978307200	Rondonia	0.0
978307200	Roraima	101.0
978307200	Santa Catarina	11.0
978307200	Sao Paulo	26.0
978307200	Sergipe	2.0
978307200	Tocantins	19.0
980985600	Acre	0.0
980985600	Alagoas	4.0
980985600	Amapa	0.0
980985600	Amazonas	8.0
980985600	Bahia	101.0
980985600	Ceara	0.0
980985600	Distrito Federal	1.0
980985600	Espirito Santo	5.0
980985600	Goias	9.0
980985600	Maranhao	1.0
980985600	Mato Grosso	54.0
980985600	Mato Grosso	89.0
980985600	Minas Gerais	39.0
980985600	Paraiba	6.0
980985600	Paraiba	8.0
980985600	Pará	16.0
980985600	Pernambuco	2.0
980985600	Piau	0.0
980985600	Rio	3.0
980985600	Rio	0.0
980985600	Rio	32.0
980985600	Rondonia	2.0
980985600	Roraima	646.0
980985600	Santa Catarina	0.0
